code,name,unit,price,category,page
981,SUCO MAGUARY ABACAXI 500 ML (PCT 12 UN),PCT,77.47,Hortifruti e Vegetais,70
1477,SUCO MAGUARY GOIABA 500 ML (PCT 12 UN),PCT,77.47,Outros,70
6190,SUCO MAGUARY LARANJA TETRA PACK 1 L (CX 12 UN),CX,50.14,Outros,70
983,SUCO MAGUARY MANGA 500 ML (PCT 12 UN),PCT,77.47,Outros,70
986,SUCO MAGUARY MARACUJÁ 500 ML (PCT 12 UN),PCT,115.81,Outros,70
6188,SUCO MAGUARY MARACUJÁ TETRA PACK 1 L (CX 12 UN),CX,50.14,Outros,70
987,SUCO MAGUARY UVA 500 ML (PCT 12 UN),PCT,77.47,Outros,70
6189,SUCO MAGUARY UVA TETRA PACK 1 L (CX 12 UN),CX,50.14,Outros,70
9657,SUCO PEQUENO DE UVA TINTO INTEGRAL TETRA PACK NOVA ALIANÇA 200 ML (CX 24 UN),CX,57.87,Outros,70
6477,SUCO PEQUENO MAGUARY MAÇÃ 200 ML (CX 27 UN),CX,31.41,Outros,70
6475,SUCO PEQUENO MAGUARY MARACUJÁ 200 ML (CX 27 UN),CX,31.41,Outros,70
6476,SUCO PEQUENO MAGUARY UVA 200 ML (CX 27 UN),CX,31.41,Outros,70
3332,SUKITA LARANJA PET 2 L (PCT 6 UN),PCT,42.76,Outros,70
7315,SUKITA LIMÃO PET 2 L (PCT 6 UN),PCT,42.2,Outros,70
5984,SUKITA TUBAÍNA PET 2 L (PCT 6 UN),PCT,42.9,Outros,70
9162,SUPORTE TRIPÉ GOLDENPLAST (PCT 200 UN),PCT,11.79,Outros,70
459,SUPORTE TRIPÉ INJEQUALY (PCT 500 UN),PCT,28.08,Outros,70
7046,TAPIOCA DA TERRINHA 500 G (FDO 24 PCT),PCT,6.49,Outros,70
7697,TAPIOCA GRANULADA DA TERRINHA 400 G (FD 12 PCT),PCT,10.84,Outros,70
4900,TAPIOCA GRANULADA YOKI 500 G (CX 12 PCT),PCT,16.72,Outros,70
4441,TAPIOCA KISABOR 500 G (CX 20 PCT),PCT,5.4,Outros,70
8678,TAPIOCA OISHII 1 KG (FD 10 PCT),PCT,6.69,Outros,70
5876,TEMPERO ALHO E SAL FOOD SERVICE SABOR AMI AJINOMOTO 5 KG (BD 5 KG),BD,60.17,Temperos,70
1019,"TEMPERO BAIANO PENINA 1,05 KG (FDO 10 PCT)",PCT,32.98,Temperos,70
3710,TEMPERO COMPLETO COM PIMENTA FOOD SERVICE SABOR AMI AJINOMOTO 5 KG (BD 5 KG),BD,63.18,Temperos,71
3711,TEMPERO COMPLETO FOOD SERVICE SABOR AMI AJINOMOTO 5 KG (BD 5 KG),BD,63.18,Temperos,71
6150,TEMPERO HONDASHI FOOD SERVICE AJINOMOTO 500 G (CX 6 PCT),PCT,46.98,Temperos,71
6051,TEMPERO LEMON PEPPER BRASILSECO 500 G (FDO 20 PCT),PCT,21.85,Temperos,71
702,"TEMPERO LEMON PEPPER PENINA 1,05 (FDO 10 PCT)",PCT,75.52,Temperos,71
7007,TEMPERO REALÇADOR DE SABOR GLUTAMATO MONOSSÓDICO BRASILSECO 1 KG (CX 20 PCT),PCT,21.33,Temperos,71
6163,"TEMPERO REALÇADOR DE SABOR GLUTAMATO MONOSSÓDICO TAICHI 1,01 KG (CX 10 PCT)",PCT,21.62,Temperos,71
7670,TEMPERO SAZÓN ALHO AJINOMOTO 900 G (CX 6 PCT),PCT,45.35,Temperos,71
3300,TEMPERO SAZÓN AVES VERDE AJINOMOTO 900 G (CX 6 PCT),PCT,39.96,Temperos,71
456,TEMPERO SAZÓN CARNES VERMELHO AJINOMOTO 900 G (CX 6 PCT),PCT,39.96,Temperos,71
7669,TEMPERO SAZÓN LEGUMES E ARROZ AMARELO AJINOMOTO 900 G (CX 6 PCT),PCT,45.35,Cereais e Grãos,71
1455,TEQUILA JOSE CUERVO ESPECIAL PRATA 750 ML (CX 12 UN),UN,101.81,Bebidas Alcoólicas,71
1415,TEQUILA JOSE CUERVO ESPECIAL REPOSADO OURO 750 ML (CX 12 UN),UN,116.35,Bebidas Alcoólicas,71
229,TOMATE ITALIANO MADURO (CX 17 KG),CX,118.17,Outros,71
230,TOMATE ITALIANO SALADA (CX 17 KG),CX,118.17,Outros,71
1159,"TOMATE PELADO INTEIRO ARCO BELLO 2,5 KG (CX 6 LT)",LT,36.11,Outros,71
8891,"TOMATE PELADO INTEIRO OLÉ 2,5 KG (CX 6 LT)",LT,27.57,Outros,71
9104,"TOMATE PELADO INTEIRO SALSARETTI 2,5 KG (CX 6 LT)",LT,27.6,Outros,71
1038,"TOMATE SECO ARCO BELLO 1,4 KG (CX 6 BD)",BD,30.86,Outros,71
7833,"TOMATE SECO YGUARA 1,4 KG (CX 4 BD)",BD,27.44,Outros,71
3095,"TOMATE TRITURADO EKMA 1,7 KG (CX 6 BAG)",CX,91.69,Outros,71
7963,"TOMATE TRITURADO POMAROLA 1,7 KG (CX 6 BAG)",CX,95.31,Outros,71
5657,TORRESMO PRÉ FRITO CHAPARRAL 500 G (CX 24 PCT),PCT,18.38,Outros,71
1271,TOUCA DE CABELO TNT (PCT 100 UN),PCT,19.57,Outros,71
535,TRIGO KIBE BURGOL 5 KG (FDO 5 PCT),PCT,42.7,Outros,71
7701,TRIGO KIBE DA TERRINHA 500 G (FDO 12 PCT),PCT,6.36,Outros,71
4901,TRIGO KIBE YOKI 4 KG (FDO 6 PCT),PCT,41.23,Outros,71
5915,TUBAÍNA CAMPOS TUTTI FRUTTI PET 2 L (PCT 6 UN),PCT,29.8,Outros,71
7270,TUBAÍNA SCHINCARIOL TUTTI FRUTTI PET 2 L (PCT 6 UN),PCT,31.46,Outros,72
8250,UVA PASSA BRANCA LERYC 1 KG (CX 15 PCT),PCT,37.25,Outros,72
1016,UVA PASSA BRANCA SEM SEMENTE BRASILSECO 1 KG (FDO 10 PCT),PCT,37.11,Outros,72
8251,UVA PASSA PRETA LERYC 1 KG (CX 15 PCT),PCT,24.62,Outros,72
1006,UVA PASSA PRETA SEM SEMENTE BRASILSECO 1 KG (FDO 10 PCT),PCT,24.62,Outros,72
461,VARREDOR PARA FORNO (UN 40 CM),UN,104.3,Outros,72
462,VASSOURINHA CABO PLÁSTICO (UN),UN,12.76,Outros,72
5221,VINAGRE BALSÂMICO DE MODENA GALLO 250 ML (CX 6 VD),VD,15.58,Molhos e Condimentos,72
7148,VINAGRE BALSÂMICO TRADIZIONALE CASTELO 500 ML (CX 12 VD),VD,23.05,Molhos e Condimentos,72
5412,VINAGRE DE ÁLCOOL CASTELO 750 ML (CX 12 FR),CX,49.83,Molhos e Condimentos,72
5202,VINAGRE DE ÁLCOOL COLORIDO CASTELO 750 ML (CX 12 FR),CX,49.24,Molhos e Condimentos,72
1041,VINAGRE DE ÁLCOOL COLORIDO NEVAL 750 ML (CX 12 FR),CX,26.87,Molhos e Condimentos,72
6574,VINAGRE DE ARROZ CASTELO 750 ML (CX 12 FR),CX,120.68,Cereais e Grãos,72
5205,VINAGRE DE MAÇÃ CASTELO 750 ML (CX 12 FR),CX,145.79,Molhos e Condimentos,72
8967,VINAGRE DE MAÇÃ TOSCANO 750 ML (CX 12 FR),CX,102.3,Molhos e Condimentos,72
5203,VINAGRE DE VINHO BRANCO CASTELO 750 ML (CX 12 FR),CX,128.12,Bebidas Alcoólicas,72
5337,VINAGRE DE VINHO TINTO GALLO 250 ML (CX 6 VD),CX,67.34,Bebidas Alcoólicas,72
5418,VINAGRE GRANDE DE ÁLCOOL 4% CASTELO (GL 5 L),GL,21.1,Molhos e Condimentos,72
8015,VINAGRE GRANDE DE ÁLCOOL 4% TOSCANO (GL 5 L),GL,16.13,Molhos e Condimentos,72
725,VINAGRE SACHÊ DE VINHO TINTO BOM SABOR 4 ML (CX 200 UN),CX,30.94,Bebidas Alcoólicas,72
3442,VINAGRE SACHÊ ISIS 4 ML (CX 200 UN),CX,24.04,Molhos e Condimentos,72
1647,VINHO ARGENTINO TINTO MEIO SECO MALBEC RESERVADO CONCHA Y TORO 750 ML (CX 12 UN),UN,24.24,Bebidas Alcoólicas,72
3134,VINHO ARGENTINO TINTO SECO CABERNET SAUVIGNON BENJAMIN NIETO SENETINER 750 ML (CX 6 UN),UN,33.27,Bebidas Alcoólicas,72
